v1;v2;v3;Vraag1;Vraag2;Vraag3;Vraag4;Vraag5;Vraag6;Vraag7;Vraag8;Vraag9;Vraag10;Vraag11;Vraag12;Vraag13;Vraag14;Vraag15;Vraag16;Vraag17;Vraag18;Vraag19;Vraag20;Vraag21;Vraag22;Vraag23;Vraag24;Vraag25;Vraag26;Vraag27;Vraag28;Vraag29;Vraag30;Vraag31;Vraag32;Vraag33;Vraag34;Vraag35;Vraag36;Vraag37;Vraag38;Vraag39;Vraag40;Vraag41;Vraag42;Vraag43;Vraag44;Vraag45;Vraag46;Vraag47;Vraag48;Vraag49;Vraag50;Vraag51;Vraag52;Vraag53;Vraag54;Vraag55;Vraag56
Vanuit mijn rol binnen een opleiding.;Duits;Instituut Archimedes;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;4;3;3;3;2;2;2;2;2;3;3;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Plannen & Roosteren Padua;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;3;2;2;2;1;3;2;2;1;2;2;2;2;1;2;1;2;3;2;2;2;1;3;2;3;2;2;3;1;2;2;2;2;2;3;2;2;1;2;2;3;3;2;3;2;1;2;2;1;2;3
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Housing & Hosting;Dienst Informatiemanagement & ICT;2;2;4;4;3;1;2;4;1;1;2;2;2;4;6;5;7;4;4;5;4;5;4;2;1;4;1;7;5;4;5;5;5;1;2;2;2;3;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Bachelor Pedagogiek vt3;Instituut voor Ecologische Pedagogiek;1;2;3;3;3;1;2;1;1;1;2;1;2;2;3;3;4;3;4;2;2;1;1;2;1;2;1;1;3;4;5;4;2;3;3;3;2;1;3;2;2;2;5;5;2;4;3;2;2;2;4;3;4;4;4;3
Vanuit mijn rol binnen een ondersteunende dienst.;Certificering 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;2;2;1;2;1;6;2;1;2;2;6;1;1;2;1;2;2;1;2;4;2;1;2;6;1;2;1;2;8;2;6;1;2;6;6;6;7;2;6;6;6;6;6;2;2;1;1;6;6;6
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde jaar 1;Instituut voor Verpleegkundige Studies;1;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;4;2;2;2;2;4;3;2;2;2;1;2;1;1;2;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Communicatie & Media Design team 4;Instituut voor Communicatie;1;2;3;4;3;2;3;4;4;2;2;2;3;4;3;3;2;2;4;2;2;2;4;3;3;4;2;3;2;4;5;4;3;2;3;3;2;2;2;2;4;4;3;4;3;2;3;4;4;2;3;2;2;3;2;3
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Lectoraat Onderzoekend Vermogen;Kenniscentrum Leren en Innoveren;3;2;2;2;2;2;2;2;2;1;3;1;1;1;2;2;6;2;2;1;1;4;2;1;2;1;2;2;1;3;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;4;2;1;4;1;1;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;Creative Business 4;Instituut voor Communicatie;1;2;3;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Studentsupport team 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;3;3;2;1;1;2;2;2;2;4;4;4;1;2;2;2;1;2;2;2;2;3;3;2;2;3;1;2;3;2;2;2;2;2;2
